datetime,market_price,temperature,relative_humidity
2023-01-01 00:00:00,-5.17,9.4,81
2023-01-01 00:15:00,-5.17,9.4,81
2023-01-01 00:30:00,-5.17,9.4,81
2023-01-01 00:45:00,-5.17,9.4,81
2023-01-01 01:00:00,-1.07,8.9,83
2023-01-01 01:15:00,-1.07,8.9,83
2023-01-01 01:30:00,-1.07,8.9,83
2023-01-01 01:45:00,-1.07,8.9,83
2023-01-01 02:00:00,-1.47,13.1,67
2023-01-01 02:15:00,-1.47,13.1,67
2023-01-01 02:30:00,-1.47,13.1,67
2023-01-01 02:45:00,-1.47,13.1,67
2023-01-01 03:00:00,-5.08,13.2,67
2023-01-01 03:15:00,-5.08,13.2,67
2023-01-01 03:30:00,-5.08,13.2,67
2023-01-01 03:45:00,-5.08,13.2,67
2023-01-01 04:00:00,-4.49,13.9,64
2023-01-01 04:15:00,-4.49,13.9,64
2023-01-01 04:30:00,-4.49,13.9,64
2023-01-01 04:45:00,-4.49,13.9,64
2023-01-01 05:00:00,-5.4,13.0,66
2023-01-01 05:15:00,-5.4,13.0,66
2023-01-01 05:30:00,-5.4,13.0,66
2023-01-01 05:45:00,-5.4,13.0,66
2023-01-01 06:00:00,-5.02,11.9,70
2023-01-01 06:15:00,-5.02,11.9,70
2023-01-01 06:30:00,-5.02,11.9,70
2023-01-01 06:45:00,-5.02,11.9,70
2023-01-01 07:00:00,-1.3,10.8,73
2023-01-01 07:15:00,-1.3,10.8,73
2023-01-01 07:30:00,-1.3,10.8,73
2023-01-01 07:45:00,-1.3,10.8,73
2023-01-01 08:00:00,-1.44,11.2,72
2023-01-01 08:15:00,-1.44,11.2,72
2023-01-01 08:30:00,-1.44,11.2,72
2023-01-01 08:45:00,-1.44,11.2,72
2023-01-01 09:00:00,-1.09,9.4,80
2023-01-01 09:15:00,-1.09,9.4,80
2023-01-01 09:30:00,-1.09,9.4,80
2023-01-01 09:45:00,-1.09,9.4,80
2023-01-01 10:00:00,-1.07,11.6,74
2023-01-01 10:15:00,-1.07,11.6,74
2023-01-01 10:30:00,-1.07,11.6,74
2023-01-01 10:45:00,-1.07,11.6,74
2023-01-01 11:00:00,-1.07,14.6,59
2023-01-01 11:15:00,-1.07,14.6,59
2023-01-01 11:30:00,-1.07,14.6,59
2023-01-01 11:45:00,-1.07,14.6,59
2023-01-01 12:00:00,-0.79,16.1,54
2023-01-01 12:15:00,-0.79,16.1,54
2023-01-01 12:30:00,-0.79,16.1,54
2023-01-01 12:45:00,-0.79,16.1,54
2023-01-01 13:00:00,-0.27,16.9,50
2023-01-01 13:15:00,-0.27,16.9,50
2023-01-01 13:30:00,-0.27,16.9,50
2023-01-01 13:45:00,-0.27,16.9,50
2023-01-01 14:00:00,0.85,17.0,49
2023-01-01 14:15:00,0.85,17.0,49
2023-01-01 14:30:00,0.85,17.0,49
2023-01-01 14:45:00,0.85,17.0,49
2023-01-01 15:00:00,23.53,15.7,58
2023-01-01 15:15:00,23.53,15.7,58
2023-01-01 15:30:00,23.53,15.7,58
2023-01-01 15:45:00,23.53,15.7,58
2023-01-01 16:00:00,36.54,13.0,71
2023-01-01 16:15:00,36.54,13.0,71
2023-01-01 16:30:00,36.54,13.0,71
2023-01-01 16:45:00,36.54,13.0,71
2023-01-01 17:00:00,46.03,13.0,68
2023-01-01 17:15:00,46.03,13.0,68
2023-01-01 17:30:00,46.03,13.0,68
2023-01-01 17:45:00,46.03,13.0,68
2023-01-01 18:00:00,55.57,11.4,71
2023-01-01 18:15:00,55.57,11.4,71
2023-01-01 18:30:00,55.57,11.4,71
2023-01-01 18:45:00,55.57,11.4,71
2023-01-01 19:00:00,54.95,7.6,83
2023-01-01 19:15:00,54.95,7.6,83
2023-01-01 19:30:00,54.95,7.6,83
2023-01-01 19:45:00,54.95,7.6,83
2023-01-01 20:00:00,49.23,10.8,72
2023-01-01 20:15:00,49.23,10.8,72
2023-01-01 20:30:00,49.23,10.8,72
2023-01-01 20:45:00,49.23,10.8,72
2023-01-01 21:00:00,44.99,10.0,74
2023-01-01 21:15:00,44.99,10.0,74
2023-01-01 21:30:00,44.99,10.0,74
2023-01-01 21:45:00,44.99,10.0,74
2023-01-01 22:00:00,45.96,11.7,66
2023-01-01 22:15:00,45.96,11.7,66
2023-01-01 22:30:00,45.96,11.7,66
2023-01-01 22:45:00,45.96,11.7,66
2023-01-01 23:00:00,35.0,9.5,74
2023-01-01 23:15:00,35.0,9.5,74
2023-01-01 23:30:00,35.0,9.5,74
2023-01-01 23:45:00,35.0,9.5,74
2023-01-02 00:00:00,57.91,8.8,77
2023-01-02 00:15:00,57.91,8.8,77
2023-01-02 00:30:00,57.91,8.8,77
2023-01-02 00:45:00,57.91,8.8,77
2023-01-02 01:00:00,51.67,8.3,78
2023-01-02 01:15:00,51.67,8.3,78
2023-01-02 01:30:00,51.67,8.3,78
2023-01-02 01:45:00,51.67,8.3,78
2023-01-02 02:00:00,52.93,7.8,82
2023-01-02 02:15:00,52.93,7.8,82
2023-01-02 02:30:00,52.93,7.8,82
2023-01-02 02:45:00,52.93,7.8,82
2023-01-02 03:00:00,44.09,8.5,76
2023-01-02 03:15:00,44.09,8.5,76
2023-01-02 03:30:00,44.09,8.5,76
2023-01-02 03:45:00,44.09,8.5,76
2023-01-02 04:00:00,50.08,9.2,73
2023-01-02 04:15:00,50.08,9.2,73
2023-01-02 04:30:00,50.08,9.2,73
2023-01-02 04:45:00,50.08,9.2,73
2023-01-02 05:00:00,69.72,10.2,68
2023-01-02 05:15:00,69.72,10.2,68
2023-01-02 05:30:00,69.72,10.2,68
2023-01-02 05:45:00,69.72,10.2,68
2023-01-02 06:00:00,105.08,7.3,79
2023-01-02 06:15:00,105.08,7.3,79
2023-01-02 06:30:00,105.08,7.3,79
2023-01-02 06:45:00,105.08,7.3,79
2023-01-02 07:00:00,140.64,6.8,82
2023-01-02 07:15:00,140.64,6.8,82
2023-01-02 07:30:00,140.64,6.8,82
2023-01-02 07:45:00,140.64,6.8,82
2023-01-02 08:00:00,145.98,11.6,61
2023-01-02 08:15:00,145.98,11.6,61
2023-01-02 08:30:00,145.98,11.6,61
2023-01-02 08:45:00,145.98,11.6,61
2023-01-02 09:00:00,147.05,12.5,58
2023-01-02 09:15:00,147.05,12.5,58
2023-01-02 09:30:00,147.05,12.5,58
2023-01-02 09:45:00,147.05,12.5,58
2023-01-02 10:00:00,145.61,13.4,53
2023-01-02 10:15:00,145.61,13.4,53
2023-01-02 10:30:00,145.61,13.4,53
2023-01-02 10:45:00,145.61,13.4,53
2023-01-02 11:00:00,143.35,14.3,52
2023-01-02 11:15:00,143.35,14.3,52
2023-01-02 11:30:00,143.35,14.3,52
2023-01-02 11:45:00,143.35,14.3,52
2023-01-02 12:00:00,144.38,14.9,48
2023-01-02 12:15:00,144.38,14.9,48
2023-01-02 12:30:00,144.38,14.9,48
2023-01-02 12:45:00,144.38,14.9,48
2023-01-02 13:00:00,143.76,15.7,46
2023-01-02 13:15:00,143.76,15.7,46
2023-01-02 13:30:00,143.76,15.7,46
2023-01-02 13:45:00,143.76,15.7,46
2023-01-02 14:00:00,148.2,15.4,47
2023-01-02 14:15:00,148.2,15.4,47
2023-01-02 14:30:00,148.2,15.4,47
2023-01-02 14:45:00,148.2,15.4,47
2023-01-02 15:00:00,155.34,14.8,49
2023-01-02 15:15:00,155.34,14.8,49
2023-01-02 15:30:00,155.34,14.8,49
2023-01-02 15:45:00,155.34,14.8,49
