day-number,date,dynamic factor
1,1-Jan,1.242030219608000
2,2-Jan,1.243922153728000
3,3-Jan,1.245677708248000
4,4-Jan,1.247298779648000
5,5-Jan,1.248787255000000
6,6-Jan,1.250145011968000
7,7-Jan,1.251373918808000
8,8-Jan,1.252475834368000
9,9-Jan,1.253452608088000
10,10-Jan,1.254306080000000
11,11-Jan,1.255038080728000
12,12-Jan,1.255650431488000
13,13-Jan,1.256144944088000
14,14-Jan,1.256523420928000
15,15-Jan,1.256787655000000
16,16-Jan,1.256939429888000
17,17-Jan,1.256980519768000
18,18-Jan,1.256912689408000
19,19-Jan,1.256737694168000
20,20-Jan,1.256457280000000
21,21-Jan,1.256073183448000
22,22-Jan,1.255587131648000
23,23-Jan,1.255000842328000
24,24-Jan,1.254316023808000
25,25-Jan,1.253534375000000
26,26-Jan,1.252657585408000
27,27-Jan,1.251687335128000
28,28-Jan,1.250625294848000
29,29-Jan,1.249473125848000
30,30-Jan,1.248232480000000
31,31-Jan,1.246904999768000
32,1-Feb,1.245492318208000
33,2-Feb,1.243996058968000
34,3-Feb,1.242417836288000
35,4-Feb,1.240759255000000
36,5-Feb,1.239021910528000
37,6-Feb,1.237207388888000
38,7-Feb,1.235317266688000
39,8-Feb,1.233353111128000
40,9-Feb,1.231316480000000
41,10-Feb,1.229208921688000
42,11-Feb,1.227031975168000
43,12-Feb,1.224787170008000
44,13-Feb,1.222476026368000
45,14-Feb,1.220100055000000
46,15-Feb,1.217660757248000
47,16-Feb,1.215159625048000
48,17-Feb,1.212598140928000
49,18-Feb,1.209977778008000
50,19-Feb,1.207300000000000
51,20-Feb,1.204566261208000
52,21-Feb,1.201778006528000
53,22-Feb,1.198936671448000
54,23-Feb,1.196043682048000
55,24-Feb,1.193100455000000
56,25-Feb,1.190108397568000
57,26-Feb,1.187068907608000
58,27-Feb,1.183983373568000
59,28-Feb,1.180853174488000
60,1-Mar,1.177679680000000
61,2-Mar,1.174464250328000
62,3-Mar,1.171208236288000
63,4-Mar,1.167912979288000
64,5-Mar,1.164579811328000
65,6-Mar,1.161210055000000
66,7-Mar,1.157805023488000
